sektor,kelurahan,kecamatan,wilayah_kota,alamat,latitude,longitude,Keterangan
I,,Gambir,Jakarta Pusat,"Jl. Hasyim Asyhari, Gg. Subur",-6.165291,106.83187,
I,,Gambir,Jakarta Pusat,Jl. Ternate Huk / Jl. Biak,-6.168719,106.808289,
I,,Gambir,Jakarta Pusat,Jl. Sangau,-6.169876,106.804261,
I,,Gambir,Jakarta Pusat,Jl.  Citarum,-6.169876,106.804261,
I,,Gambir,Jakarta Pusat,Jl. Belawan Huk / Jl. Siantar,-6.172827,106.808851,
I,,Gambir,Jakarta Pusat,Jl.  Tanah Abang V Huk Abdul Muis,-6.179389,106.818127,
I,,Gambir,Jakarta Pusat,Jl.  Musi Huk / Jl. Batang Hari,-6.174156,106.809462,
I,,Gambir,Jakarta Pusat,"Gor Kmakmuran, Jl. Hasyim Ashari",-6.165066,106.816707,
I,,Gambir,Jakarta Pusat,"Golden truly, Jl.  Suryo Pranoto",-6.168823,106.819592,
I,,Gambir,Jakarta Pusat,"Bank Royal, Jl.  AM. Sangaji",-6.170059,106.814721,
I,,Gambir,Jakarta Pusat,"Pasar Petojo, Jl. AM.Sangaji",-6.162898,106.812582,
I,,Gambir,Jakarta Pusat,"Gereja Imanuel, Jl.  Ridwan Rais",-6.177006,106.831277,
I,,Gambir,Jakarta Pusat,"Patung Tani, Jl.  Ridwan Rais Huk",-6.182612,106.833769,
I,,Gambir,Jakarta Pusat,"Halte Bus, Jl.  Pejambon",-6.175621,106.832633,
II,,Tanah Abang,Jakarta Pusat,"Dep. BCA, Jl.  Wahid Hasyim",-6.187166,106.817178,
II,,Tanah Abang,Jakarta Pusat,"Jl.  Wahid Hasyim Huk, M.Husni Thamrin",-6.187147,106.822897,
II,,Tanah Abang,Jakarta Pusat,Jl.  Kebon Kacang XI Huk XIII,-6.189094,106.821382,
II,,Tanah Abang,Jakarta Pusat,"SD. Sport, Jl. Kebon Kacang Raya  ",-6.193916,106.817881,
II,,Tanah Abang,Jakarta Pusat,"Kantor Lurah, Jl.  KH. Mas Mansyur",-6.18893,106.815441,
II,,Tanah Abang,Jakarta Pusat,"Kantor Camat, Jl.  KH. Mas Mansyur",-6.1909,106.814983,
