tanggal_kejadian,lokasi_kejadian,wilayah,jumlah_sarana_rusak,kategori_sarana_rusak,penyebab,jumlah_sarana_menangani,tim_yang_menangani,lokasi_pengungsi,kerugian
2017-06-01,"Jl. Kramat Jaya Baru E5 No. 147, RT.04 RW.010 (Titik Kenal Belakang Pasar UKM) Kel. Johar Baru Kec. Johar Baru",Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,16,Dinas Pemadam Kebakaran ,Tidak Ada,20000000
2017-06-02,"Jl. Salemba Tengah, belakang RS. St Carolus Kel. Paseban Kec. Senen",Jakarta Pusat,1,Ruang Laundry RS. St. Corolus,Korsleting Listrik,22,Dinas Pemadam Kebakaran ,Tidak Ada,900000000
2017-06-02,Jl. Taruna Gg. 3 RT. 04 RW. 03 Kel Serdang Kec. Kemayoran,Jakarta Pusat,1,Rumah Tinggal ,Dalam Penyelidikan,2,Dinas Pemadam Kebakaran ,Tidak Ada,2000000
2017-06-07,Jl. Karang Anyar A No. 3 RT. 17 RW. 6 Kel. Karang Anyar Kec. Sawah Besar,Jakarta Pusat,1,Bengkel Mobil ,Korsleting Listrik,13,Dinas Pemadam Kebakaran ,Tidak Ada,300000000
2017-06-12,Jl. Mangga Dua Raya Kel. Mangga Dua Selatan Kec. Sawah Besar,Jakarta Pusat,1,Gudang,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak Ada,0
2017-06-16,Jl. Administrasi LAN II  No.6    RT. 04 RW. 11 Kel. Petamburan Kec. Tanah Abang,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,15,Dinas Pemadam Kebakaran ,Tidak Ada,150000000
2017-06-18,"Gedung Nusantara 2 DPR/MPR, Jl. Jend. Gatot Subroto RT.01 RW.03, Kel. Gelora Kec. Tananh Abang",Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,15,Dinas Pemadam Kebakaran ,Tidak Ada,35000000
2017-06-19,Jl. Kramat Pulo Dalam 2   RT.011 RW.04 Kel. Kramat Kec. Senen,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak Ada,0
2017-06-21,Jl. Tambak II No. 08 RT. 09 RW. 05 Kel. Pengangsaan Kec. Menteng,Jakarta Pusat,1,Kantor (Yayasan Anak Bangsa),Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak Ada,20000000
2017-06-22,Jl. Remaja 3 no.13 Gang siaga 2 RT.02 RW.03 Kel. Cempaka Baru Kec. Kemayoran ,Jakarta Pusat,1,Rumah Tinggal ,Korsleting Listrik,19,Dinas Pemadam Kebakaran ,Tidak Ada,150000000
2017-06-24,Jl. Mutiara Raya Kav.1   RT.014  RW.03 Kel.Sumur Batu Kec. Kemayoran,Jakarta Pusat,1,Plafon SMK Poncol,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak Ada,0
