tanggal_kejadian,lokasi_kejadian,wilayah,jumlah_sarana_rusak,kategori_sarana_rusak,penyebab,jumlah_sarana_menangani,tim_yang_menangani,lokasi_pengungsi,kerugian
2017-05-05,Jl. Kembang 3  RT. 08 RW. 01 Kel. Senen Kec. Senen,Jakarta Pusat,1,Sebagian Rumah,Kompor Terbakar,1,Dinas Pemadam Kebakaran ,Tidak ada,250000
2017-05-09,Jl. Penjernihan 1 RT.05 RW. 07 Kel. Bendungan Hilir Kec. Tanah Abang,Jakarta Pusat,1,Restoran,Korsleting Listrik,2,Dinas Pemadam Kebakaran ,Tidak ada,200000000
2017-05-27,Jl. M. Ali I No.51 RT. 09 RW. 03 Kel. Tanah Tinggi Kec. Johar Baru,Jakarta Pusat,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,500000
2017-05-28, Jl. Rasa Mulya No.4 RT. 03 RW. 08 Kel. Bungur Kec. Senen,Jakarta Pusat,18,Rumah Tinggal,Dalam Penyelidikan,25,Dinas Pemadam Kebakaran ,"Musholla Daarun Naiim, Rumah Warga",600000000
2017-05-02,"Jl. Indokarya 4 Blok D No. 1 Kel. Papanggo Kec, Tanjung Priok",Jakarta Utara,1,Gudang,Dalam Penyelidikan,21,Dinas Pemadam Kebakaran ,Tidak ada,3000000000
2017-05-04,Jl. Camar Elok 4 No.23 RT. 09 RW. 06 Kel. Kapuk Muara Kec. Penjaringan,Jakarta Utara,1,Rumah Tinggal,korsleting listrik,6,Dinas Pemadam Kebakaran ,Tidak ada,150000000
2017-05-09,"Jl. Kapuk Utara 2, RT. 01/RW. 03 Kel. Kapuk Muara Kec. Penjaringan",Jakarta Utara,1,Rumah Bedeng,Korsleting Listrik,14,Dinas Pemadam Kebakaran ,"RW 01 , RW. 04, Balai Warga, ",15000000
2017-05-09,"Jl. Kapuk Utara 2, RT. 01/RW. 03 Kel. Kapuk Muara Kec. Penjaringan",Jakarta Utara,1,Lapak,Korsleting Listrik,0,Dinas Pemadam Kebakaran ,"RW 01 , RW. 04, Balai Warga, ",0
2017-05-13,Kampung Beting Jaya Berdikari No. 62    RT. 03   RW. 18 Kel. Tugu Utara Kec. Koja,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,8,Dinas Pemadam Kebakaran ,Tidak ada,50000000
2017-05-20,Jl. Tipar Cakung   RT.09  RW. 05 Kel. Semper Barat Kec. Cilincing,Jakarta Utara,1,Musholla,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,200000
2017-05-21,Jl. Jembatan Gambang 2 No.20   RT. 014  RW. 01 Kel. Pejagalan Kec. Penjaringan,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,1,Dinas Pemadam Kebakaran ,Tidak ada,2000000
2017-05-27,Jl. Tugu Indah No.9 RT. 01 RW. 06 Kel. Semper Barat Kec. Cilincing,Jakarta Utara,1,Rumah Tinggal,Korsleting Listrik,5,Dinas Pemadam Kebakaran ,Tidak ada,7500000
2017-05-07,Jl. Utama Sakti VII RT 09 RW 07 Kel. Wijaya Kusuma Kec. Grogol Petamburan,Jakarta Barat,1,Rumah Tinggal,Korsleting Listrik,7,Dinas Pemadam Kebakaran ,Tidak ada,100000000
2017-05-09,Jl. Kelapa Dua No.4  RT.05  RW 06 Kel. Kelapa Dua Kec. Kebon Jeruk,Jakarta Barat,1,Rumah Tinggal,Korsleting Listrik,11,Dinas Pemadam Kebakaran ,Tidak ada,0
2017-05-17,"Jl. Pulau Matahari II, Blok A No. 29 RT. 16 RW. 09 Kel. Kembangan Utara Kec. Kembangan",Jakarta Barat,1,Rumah Tinggal,Korsleting Listrik,13,Dinas Pemadam Kebakaran ,Tidak ada,1000000000
2017-05-24,Jl. Kali Kapuk Timur RT. 03 RW. 10 Kel. Kapuk Kec. Cengkareng,Jakarta Barat,4,Rumah Tinggal,Korsleting Listrik,16,Dinas Pemadam Kebakaran ,Tidak ada,180000000
